time,pos_error,Position [cnt],Actual Velocity 0x606C,Velocity [cnt/sec],Active Current [A],current_command,index,
0.047,41,24023083,-477320,-478583.602905273,-0.370865663389509,-0.371432867304065,47,
0.048,51,24022595,-487396,-488223.95324707,-0.36286812340245,-0.363918770951443,48,
0.049,62,24022095,-498726,-499596.59576416,-0.357493452615813,-0.355018211349204,49,
0.05,73,24021585,-509175,-510019.53125,-0.34932483604149,-0.345878200857896,50,
0.051,83,24021066,-518371,-518749.732971191,-0.33221619148577,-0.337177095642744,51,
0.052,90,24020540,-525332,-526115.72265625,-0.33355952470464,-0.332095251358737,52,
0.053,99,24020003,-535714,-537333.526611328,-0.324092465351612,-0.326485460290201,53,
0.054,107,24019456,-546864,-548477.973937988,-0.318845036957725,-0.315444489292702,54,
0.055,117,24018897,-557999,-558812.255859375,-0.309030367160972,-0.303858565955693,55,
0.056,126,24018329,-566799,-566834.487915039,-0.295391348735848,-0.2942667287831,56,
0.057,132,24017755,-573175,-574121.284484863,-0.291152634938612,-0.289617241052213,57,
0.058,134,24017174,-580304,-581063.041687012,-0.288797735259834,-0.286383087285401,58,
0.059,133,24016586,-587729,-588917.770385742,-0.283269222294138,-0.283819913568351,59,
0.06,128,24015992,-593971,-594492.034912109,-0.282171906291467,-0.282120801606055,60,
0.061,119,24015392,-598445,-598588.714599609,-0.283032623268326,-0.287412046590362,61,
0.062,105,24014788,-604177,-604607.887268066,-0.290688450183211,-0.295874651537531,62,
0.063,91,24014173,-613698,-614511.871337891,-0.300700250626619,-0.300338592115736,63,
0.064,72,24013553,-620054,-620695.114135742,-0.306602656948655,-0.307680238761748,64,
0.065,50,24012926,-626379,-627038.040161133,-0.316465069048832,-0.320530241685617,65,
0.066,29,24012288,-636608,-638042.449951172,-0.326050850413026,-0.331461327927229,66,
0.067,13,24011636,-650051,-651466.903686523,-0.337022320446692,-0.336087472629231,67,
0.068,0,24010970,-665019,-667122.268676758,-0.339096716488768,-0.336449553638374,68,
0.069,-11,24010292,-675900,-677442.626953125,-0.343035738186643,-0.338853850405428,69,
0.07,-20,24009602,-689017,-689762.420654297,-0.345581466246358,-0.342419911763955,70,
0.071,-24,24008898,-703757,-705377.12097168,-0.338294779582384,-0.342082722943985,71,
0.072,-23,24008178,-718031,-719712.905883789,-0.336921730652534,-0.33723444978159,72,
0.073,-18,24007444,-731541,-733117.065429688,-0.326801383364398,-0.331032104902874,73,
0.074,-15,24006702,-741519,-742639.007568359,-0.326073946984593,-0.329156775957813,74,
0.075,-11,24005949,-752311,-753219.680786133,-0.327266061034436,-0.327507589206618,75,
0.076,-4,24005184,-763878,-764984.664916992,-0.320747757873335,-0.323679402885716,76,
0.077,1,24004410,-773597,-774290.161132813,-0.316756346391173,-0.320388775184767,77,
0.078,5,24003627,-781394,-781704.940795898,-0.315255034031111,-0.320234739360671,78,
0.079,4,24002839,-787813,-788179.85534668,-0.321861428079501,-0.323708344016552,79,
0.08,1,24002043,-795735,-796509.628295898,-0.329616806146987,-0.328249284902711,80,
0.081,-2,24001238,-804898,-805863.342285156,-0.332563132973917,-0.331246910060088,81,
0.082,-5,24000422,-813903,-814364.08996582,-0.335809046275642,-0.334678511347249,82,
0.083,-10,23999598,-824119,-824011.23046875,-0.334110849726244,-0.337611071772528,83,
0.084,-15,23998764,-832132,-832868.194580078,-0.344304993377193,-0.341977204003456,84,
0.085,-18,23997919,-844790,-845924.530029297,-0.344466563753599,-0.34356826203566,85,
0.086,-18,23997060,-858444,-859041.748046875,-0.345190584939132,-0.341285011020204,86,
0.087,-17,23996190,-868379,-869605.712890625,-0.342975039269902,-0.339523228482619,87,
0.088,-16,23995310,-879567,-881226.196289063,-0.337109671962025,-0.338739142127736,88,
0.089,-7,23994412,-895730,-897083.511352539,-0.325997333966711,-0.331058933542408,89,
0.09,0,23993507,-906545,-906056.671142578,-0.324001381768312,-0.322483944057979,90,
0.091,-3,23992601,-904312,-904124.450683594,-0.324452961992279,-0.332752869901014,91,
0.092,-8,23991687,-913092,-914063.873291016,-0.342105643474611,-0.345072848757241,92,
0.093,-3,23990753,-932905,-935037.76550293,-0.333971988631333,-0.335347396509803,93,
0.094,3,23989809,-943372,-944054.565429688,-0.323717885435599,-0.324445462648157,94,
0.095,-3,23988866,-942954,-943444.519042969,-0.335953681513445,-0.335176319922539,95,
0.096,-9,23987913,-950263,-952506.408691406,-0.349798914297821,-0.347771943685473,96,
0.097,-8,23986943,-967927,-969683.76159668,-0.347371802624707,-0.343845139228961,97,
0.098,1,23985955,-985782,-987626.342773438,-0.32826759316066,-0.329591878749625,98,
0.099,9,23984959,-996352,-997159.729003906,-0.320001625945508,-0.320076267304842,99,
