POS: {v: 251.805, s: 13.4215, e: 68.8061, r: -5.16041, p: -5.88149}
VEL: {v: 49.9881, s: 0.455459, e: -0.3455, r: 0.0294411, p: -0.00292476}
POS: {v: 254.356, s: 13.4432, e: 68.7891, r: -5.15903, p: -5.8823}
VEL: {v: 49.7813, s: 0.360506, e: -0.305018, r: 0.0164782, p: -0.00793864}
POS: {v: 256.906, s: 13.4603, e: 68.7749, r: -5.15777, p: -5.88297}
VEL: {v: 49.8589, s: 0.289766, e: -0.240592, r: 0.0120108, p: -0.0337276}
POS: {v: 259.248, s: 13.4732, e: 68.7634, r: -5.15671, p: -5.88348}
VEL: {v: 42.3801, s: 0.182108, e: -0.183503, r: 0.0236371, p: -0.0338437}
POS: {v: 261.29, s: 13.4813, e: 68.7563, r: -5.15596, p: -5.88379}
VEL: {v: 37.0062, s: 0.155248, e: -0.152829, r: 0.0237286, p: -0.00587274}
POS: {v: 262.817, s: 13.4884, e: 68.7498, r: -5.1553, p: -5.88407}
VEL: {v: 18.3466, s: 0.137939, e: -0.112822, r: 0.0253947, p: -0.0029944}
POS: {v: 264.361, s: 13.5007, e: 68.7388, r: -5.15427, p: -5.88455}
VEL: {v: 10.3508, s: 0.0889461, e: -0.0845488, r: 5.49273e-05, p: 0.0215411}
POS: {v: 264.361, s: 13.5007, e: 68.7388, r: -5.15427, p: -5.88455}
VEL: {v: 10.3508, s: 0.0889461, e: -0.0845488, r: 5.49273e-05, p: 0.0215411}
POS: {v: 265.179, s: 13.5091, e: 68.7318, r: -5.1537, p: -5.8849}
VEL: {v: 6.63274, s: 0.081863, e: -0.0633252, r: 0.00996016, p: 0}
POS: {v: 265.179, s: 13.5091, e: 68.7318, r: -5.1537, p: -5.8849}
VEL: {v: 6.63274, s: 0.081863, e: -0.0633252, r: 0.00996016, p: 0}
POS: {v: 265.548, s: 13.5136, e: 68.7284, r: -5.15336, p: -5.88504}
VEL: {v: 6.56011, s: 0.0821527, e: -0.0630029, r: 3.66182e-05, p: -6.96372e-05}
POS: {v: 266.249, s: 13.5222, e: 68.7222, r: -5.15262, p: -5.88534}
VEL: {v: 5.96031, s: 0.0767571, e: -0.0530257, r: -0.00126333, p: 0.0101438}
POS: {v: 266.249, s: 13.5222, e: 68.7222, r: -5.15262, p: -5.88534}
VEL: {v: 5.96031, s: 0.0767571, e: -0.0530257, r: -0.00126333, p: 0.0101438}
POS: {v: 266.512, s: 13.5255, e: 68.7199, r: -5.15239, p: -5.88546}
VEL: {v: 5.72483, s: 0.0691016, e: -0.0438266, r: 1.83091e-05, p: -0.0308261}
POS: {v: 266.766, s: 13.5288, e: 68.7177, r: -5.15218, p: -5.88557}
VEL: {v: 6.10317, s: 0.0730719, e: -0.0492298, r: -0.00115347, p: 0}
POS: {v: 267.032, s: 13.5322, e: 68.7156, r: -5.15207, p: -5.88571}
VEL: {v: 5.42059, s: 0.0689384, e: -0.0478348, r: 0.015398, p: 0.00129989}
POS: {v: 267.316, s: 13.536, e: 68.7131, r: -5.15189, p: -5.88585}
VEL: {v: 5.11363, s: 0.0616691, e: -0.0393076, r: 3.66182e-05, p: 0.034749}
POS: {v: 267.578, s: 13.5392, e: 68.711, r: -5.15176, p: -5.88595}
VEL: {v: 4.85311, s: 0.0645428, e: -0.0392958, r: 0, p: -6.96372e-05}
