POS: {v: 265.29, s: 11.9455, e: 70.5422, r: -4.71887, p: -3.99743}
VEL: {v: -50.8777, s: -10.4027, e: 10.133, r: 2.01026, p: 9.62774}
POS: {v: 265.29, s: 11.9455, e: 70.5422, r: -4.71887, p: -3.99743}
VEL: {v: -50.8777, s: -10.4027, e: 10.133, r: 2.01026, p: 9.62774}
POS: {v: 265.29, s: 11.9455, e: 70.5422, r: -4.71887, p: -3.99743}
VEL: {v: -50.8777, s: -10.4027, e: 10.133, r: 2.01026, p: 9.62774}
POS: {v: 260.75, s: 10.9127, e: 71.5694, r: -4.49438, p: -2.98957}
VEL: {v: -41.8502, s: -11.1148, e: 11.321, r: 2.46993, p: 11.137}
POS: {v: 258.195, s: 10.2457, e: 72.2522, r: -4.33951, p: -2.28721}
VEL: {v: -37.8165, s: -11.0817, e: 11.4172, r: 2.65552, p: 11.6665}
POS: {v: 258.195, s: 10.2457, e: 72.2522, r: -4.33951, p: -2.28721}
VEL: {v: -37.8165, s: -11.0817, e: 11.4172, r: 2.65552, p: 11.6665}
POS: {v: 255.305, s: 9.33099, e: 73.1954, r: -4.13247, p: -1.35915}
VEL: {v: -36.3264, s: -11.1488, e: 11.571, r: 2.6753, p: 11.8368}
POS: {v: 255.305, s: 9.33099, e: 73.1954, r: -4.13247, p: -1.35915}
VEL: {v: -36.3264, s: -11.1488, e: 11.571, r: 2.6753, p: 11.8368}
POS: {v: 252.61, s: 8.52717, e: 74.027, r: -3.93391, p: -0.476877}
VEL: {v: -36.6951, s: -11.1552, e: 11.4233, r: 2.53002, p: 12.2393}
POS: {v: 249.212, s: 7.47505, e: 75.1243, r: -3.67062, p: 0.710792}
VEL: {v: -34.7864, s: -10.9351, e: 11.2674, r: 2.74781, p: 12.3683}
POS: {v: 249.212, s: 7.47505, e: 75.1243, r: -3.67062, p: 0.710792}
VEL: {v: -34.7864, s: -10.9351, e: 11.2674, r: 2.74781, p: 12.3683}
POS: {v: 245.967, s: 6.47753, e: 76.1479, r: -3.41461, p: 1.84947}
VEL: {v: -35.2917, s: -10.9955, e: 11.1038, r: 2.97209, p: 12.76}
POS: {v: 245.967, s: 6.47753, e: 76.1479, r: -3.41461, p: 1.84947}
VEL: {v: -35.2917, s: -10.9955, e: 11.1038, r: 2.97209, p: 12.76}
POS: {v: 243.605, s: 5.76106, e: 76.8651, r: -3.2269, p: 2.68235}
VEL: {v: -36.354, s: -10.737, e: 10.9989, r: 2.84046, p: 12.5784}
POS: {v: 241.804, s: 5.222, e: 77.4109, r: -3.08318, p: 3.30971}
VEL: {v: -36.1085, s: -10.8519, e: 10.8182, r: 2.94135, p: 12.6361}
POS: {v: 240.507, s: 4.80423, e: 77.8865, r: -2.95302, p: 3.87394}
VEL: {v: -36.1794, s: -10.6451, e: 10.6976, r: 2.85227, p: 12.4451}
POS: {v: 236.97, s: 3.79462, e: 78.8423, r: -2.69681, p: 4.98866}
VEL: {v: -36.432, s: -10.6378, e: 10.6356, r: 2.93406, p: 12.6489}
POS: {v: 236.97, s: 3.79462, e: 78.8423, r: -2.69681, p: 4.98866}
VEL: {v: -36.432, s: -10.6378, e: 10.6356, r: 2.93406, p: 12.6489}
POS: {v: 234.837, s: 3.23456, e: 79.4147, r: -2.52713, p: 5.69695}
VEL: {v: -36.7104, s: -10.4559, e: 10.6034, r: 2.95226, p: 12.4877}
POS: {v: 233.079, s: 2.66791, e: 79.97, r: -2.37805, p: 6.32745}
VEL: {v: -37.0264, s: -10.4592, e: 10.4955, r: 3.25179, p: 12.7891}
POS: {v: 231.004, s: 2.10481, e: 80.5326, r: -2.22175, p: 6.98733}
VEL: {v: -36.7742, s: -10.3821, e: 10.3177, r: 3.08762, p: 13.0115}
POS: {v: 229.282, s: 1.61778, e: 81.0171, r: -2.06532, p: 7.62479}
VEL: {v: -36.7287, s: -10.3094, e: 10.2572, r: 3.09547, p: 12.8763}
POS: {v: 227.316, s: 1.09262, e: 81.5355, r: -1.89917, p: 8.29889}
VEL: {v: -36.4337, s: -10.2454, e: 10.0679, r: 3.02752, p: 12.5084}
POS: {v: 225.898, s: 0.662492, e: 81.9687, r: -1.77217, p: 8.80807}
VEL: {v: -35.2496, s: -10.1432, e: 10.0267, r: 3.18325, p: 12.6351}
POS: {v: 224.034, s: 0.132757, e: 82.477, r: -1.60986, p: 9.45317}
VEL: {v: -35.8357, s: -10.0799, e: 9.90457, r: 3.21755, p: 12.709}
POS: {v: 221.964, s: -0.453797, e: 83.048, r: -1.42136, p: 10.1995}
VEL: {v: -35.5129, s: -10.1019, e: 9.63947, r: 3.40774, p: 12.1027}
POS: {v: 220.056, s: -0.965384, e: 83.5514, r: -1.24695, p: 10.8771}
VEL: {v: -35.1427, s: -10.0674, e: 9.65714, r: 3.3228, p: 12.6376}
POS: {v: 217.371, s: -1.79084, e: 84.3358, r: -0.979871, p: 11.8762}
VEL: {v: -34.3435, s: -9.83158, e: 9.49057, r: 3.55593, p: 12.6532}
POS: {v: 217.371, s: -1.79084, e: 84.3358, r: -0.979871, p: 11.8762}
VEL: {v: -34.3435, s: -9.83158, e: 9.49057, r: 3.55593, p: 12.6532}
POS: {v: 214.93, s: -2.46267, e: 84.9867, r: -0.756335, p: 12.6769}
VEL: {v: -34.0796, s: -9.94637, e: 9.6568, r: 3.37831, p: 12.4624}
POS: {v: 212.204, s: -3.22828, e: 85.7408, r: -0.45965, p: 13.7368}
VEL: {v: -34.0342, s: -9.82668, e: 9.79504, r: 3.70137, p: 12.6933}
POS: {v: 212.204, s: -3.22828, e: 85.7408, r: -0.45965, p: 13.7368}
VEL: {v: -34.0342, s: -9.82668, e: 9.79504, r: 3.70137, p: 12.6933}
POS: {v: 210.383, s: -3.7948, e: 86.3167, r: -0.24679, p: 14.4415}
VEL: {v: -34.1154, s: -9.67951, e: 9.83432, r: 3.75663, p: 12.7472}
POS: {v: 208.445, s: -4.32984, e: 86.8481, r: -0.0364014, p: 15.1398}
VEL: {v: -34.1483, s: -9.7402, e: 9.94526, r: 3.87248, p: 12.8784}
POS: {v: 205.961, s: -5.05342, e: 87.6033, r: 0.266968, p: 16.1256}
VEL: {v: -35.1077, s: -9.54401, e: 10.3256, r: 4.35046, p: 12.9228}
POS: {v: 205.08, s: -5.19772, e: 87.8084, r: 0.370441, p: 16.4089}
VEL: {v: -34.2717, s: -9.63692, e: 10.3507, r: 4.30102, p: 12.8919}
POS: {v: 202.878, s: -5.98817, e: 88.617, r: 0.69743, p: 17.3732}
VEL: {v: -32.4718, s: -9.40429, e: 10.8511, r: 4.80666, p: 13.3572}
POS: {v: 201.802, s: -6.22288, e: 88.8902, r: 0.824377, p: 17.7061}
VEL: {v: -34.4724, s: -9.36442, e: 11.1927, r: 5.0042, p: 13.169}
