POS: {v: 174.142, s: 12.3714, e: 69.4102, r: -5.20322, p: -5.82626}
VEL: {v: 0, s: 0.00280241, e: 0, r: 0, p: -0.033894}
POS: {v: 174.143, s: 12.3714, e: 69.4102, r: -5.20325, p: -5.82649}
VEL: {v: -13.7646, s: -0.228744, e: 0.102971, r: -3.66211e-05, p: -0.00077138}
POS: {v: 172.507, s: 12.3428, e: 69.4242, r: -5.20366, p: -5.82582}
VEL: {v: -11.877, s: 0.00329898, e: -0.353174, r: -1.83105e-05, p: -0.0339407}
POS: {v: 172.225, s: 12.3433, e: 69.415, r: -5.20366, p: -5.82598}
VEL: {v: -6.51611, s: 0.393601, e: -0.533117, r: 0, p: -0.00219727}
POS: {v: 172.085, s: 12.3743, e: 69.3954, r: -5.20347, p: -5.82783}
VEL: {v: -0.0524902, s: 1.09654, e: -0.351795, r: 0.0218079, p: -0.0559368}
POS: {v: 172.988, s: 12.4522, e: 69.3658, r: -5.20181, p: -5.82972}
VEL: {v: 35.6663, s: 0.551982, e: -0.284328, r: 0.0349365, p: -0.033707}
POS: {v: 172.988, s: 12.4522, e: 69.3658, r: -5.20181, p: -5.82972}
VEL: {v: 35.6663, s: 0.551982, e: -0.284328, r: 0.0349365, p: -0.033707}
POS: {v: 179.077, s: 12.5162, e: 69.3324, r: -5.19558, p: -5.83187}
VEL: {v: 78.253, s: 0.696211, e: -0.361309, r: 0.0201233, p: -0.0381716}
POS: {v: 179.077, s: 12.5162, e: 69.3324, r: -5.19558, p: -5.83187}
VEL: {v: 78.253, s: 0.696211, e: -0.361309, r: 0.0201233, p: -0.0381716}
POS: {v: 184.154, s: 12.5635, e: 69.3072, r: -5.19479, p: -5.8336}
VEL: {v: 79.5883, s: 0.807134, e: -0.448117, r: -0.000183105, p: -0.0407663}
POS: {v: 190.36, s: 12.6298, e: 69.2712, r: -5.19359, p: -5.83605}
VEL: {v: 79.6906, s: 0.877555, e: -0.482799, r: 0.0389648, p: -0.0466335}
POS: {v: 190.36, s: 12.6298, e: 69.2712, r: -5.19359, p: -5.83605}
VEL: {v: 79.6906, s: 0.877555, e: -0.482799, r: 0.0389648, p: -0.0466335}
POS: {v: 197.988, s: 12.7181, e: 69.2232, r: -5.18926, p: -5.83928}
VEL: {v: 79.5122, s: 0.983509, e: -0.525533, r: 0.0344971, p: -0.0208273}
POS: {v: 197.988, s: 12.7181, e: 69.2232, r: -5.18926, p: -5.83928}
VEL: {v: 79.5122, s: 0.983509, e: -0.525533, r: 0.0344971, p: -0.0208273}
POS: {v: 197.988, s: 12.7181, e: 69.2232, r: -5.18926, p: -5.83928}
VEL: {v: 79.5122, s: 0.983509, e: -0.525533, r: 0.0344971, p: -0.0208273}
POS: {v: 207.836, s: 12.8408, e: 69.1566, r: -5.18524, p: -5.8436}
VEL: {v: 79.3202, s: 0.983847, e: -0.540419, r: 0.0174866, p: -0.0330992}
POS: {v: 207.836, s: 12.8408, e: 69.1566, r: -5.18524, p: -5.8436}
VEL: {v: 79.3202, s: 0.983847, e: -0.540419, r: 0.0174866, p: -0.0330992}
POS: {v: 214.585, s: 12.9268, e: 69.1087, r: -5.18185, p: -5.84688}
VEL: {v: 79.2918, s: 1.03183, e: -0.562994, r: 0.0463074, p: -0.0264373}
POS: {v: 218.63, s: 12.9801, e: 69.0788, r: -5.17971, p: -5.84879}
VEL: {v: 79.4987, s: 1.04732, e: -0.580724, r: 0.0315125, p: -0.0207104}
POS: {v: 221.805, s: 13.0235, e: 69.0544, r: -5.17813, p: -5.85034}
VEL: {v: 79.6369, s: 1.03204, e: -0.58386, r: 0.0415649, p: -0.0524772}
POS: {v: 225.537, s: 13.0711, e: 69.0274, r: -5.17632, p: -5.85204}
VEL: {v: 79.3353, s: 1.05733, e: -0.595295, r: 0.0356323, p: -0.0512851}
POS: {v: 229.503, s: 13.121, e: 68.9988, r: -5.17427, p: -5.85398}
VEL: {v: 79.5705, s: 1.04397, e: -0.598875, r: 0.0370422, p: -0.035764}
POS: {v: 229.503, s: 13.121, e: 68.9988, r: -5.17427, p: -5.85398}
VEL: {v: 79.5705, s: 1.04397, e: -0.598875, r: 0.0370422, p: -0.035764}
POS: {v: 237.598, s: 13.2269, e: 68.9375, r: -5.16964, p: -5.85779}
VEL: {v: 79.4434, s: 1.0165, e: -0.622822, r: 0.0326294, p: -0.0464698}
POS: {v: 237.598, s: 13.2269, e: 68.9375, r: -5.16964, p: -5.85779}
VEL: {v: 79.4434, s: 1.0165, e: -0.622822, r: 0.0326294, p: -0.0464698}
POS: {v: 242.763, s: 13.2938, e: 68.8975, r: -5.16691, p: -5.86025}
VEL: {v: 79.2468, s: 1.03919, e: -0.617171, r: 0.0346985, p: -0.0342212}
POS: {v: 246.017, s: 13.336, e: 68.8718, r: -5.16517, p: -5.86191}
VEL: {v: 79.3052, s: 1.02717, e: -0.632936, r: 0.0389832, p: -0.029967}
POS: {v: 249.75, s: 13.3836, e: 68.842, r: -5.16288, p: -5.86368}
VEL: {v: 79.4979, s: 1.00774, e: -0.633828, r: 0.0606995, p: -0.0378678}
POS: {v: 255.158, s: 13.4513, e: 68.798, r: -5.1596, p: -5.86628}
VEL: {v: 79.5825, s: 0.945273, e: -0.640611, r: 0.0529907, p: -0.0442959}
POS: {v: 257.226, s: 13.4758, e: 68.7812, r: -5.15814, p: -5.86733}
VEL: {v: 79.2602, s: 0.968056, e: -0.691695, r: 0.071283, p: -0.0381015}
POS: {v: 261.202, s: 13.5237, e: 68.7468, r: -5.15517, p: -5.86908}
VEL: {v: 77.5082, s: 0.69464, e: -0.451858, r: 0.0714478, p: -0.0185833}
POS: {v: 268.031, s: 13.5522, e: 68.723, r: -5.15209, p: -5.87028}
VEL: {v: 23.4549, s: -0.204704, e: 0.00299041, r: 0.13797, p: 0.0543706}
POS: {v: 269.075, s: 13.5418, e: 68.7356, r: -5.13527, p: -5.83164}
VEL: {v: 6.90407, s: -1.16089, e: 2.74695, r: 1.77334, p: 6.62321}
POS: {v: 269.312, s: 13.4334, e: 68.9976, r: -5.03884, p: -5.42245}
VEL: {v: -0.000686646, s: -4.90712, e: 8.7607, r: 1.74386, p: 7.45376}
POS: {v: 269.061, s: 12.9778, e: 69.6006, r: -4.92634, p: -4.89039}
VEL: {v: -19.2017, s: -9.127, e: 8.60324, r: 1.71097, p: 7.66584}
POS: {v: 268.577, s: 12.74, e: 69.826, r: -4.88273, p: -4.68436}
VEL: {v: -33.2358, s: -9.57236, e: 8.83945, r: 1.68127, p: 8.10922}
POS: {v: 265.74, s: 12.0597, e: 70.462, r: -4.74478, p: -4.07488}
VEL: {v: -52.8514, s: -10.3798, e: 10.0547, r: 2.0211, p: 9.85191}
POS: {v: 260.567, s: 10.9513, e: 71.5545, r: -4.51459, p: -2.98763}
VEL: {v: -42.8241, s: -10.86, e: 11.0453, r: 2.39421, p: 11.0833}
POS: {v: 260.567, s: 10.9513, e: 71.5545, r: -4.51459, p: -2.98763}
VEL: {v: -42.8241, s: -10.86, e: 11.0453, r: 2.39421, p: 11.0833}
POS: {v: 256.556, s: 9.86616, e: 72.6561, r: -4.26511, p: -1.90564}
VEL: {v: -39.2882, s: -11.1115, e: 11.4004, r: 2.56404, p: 11.9797}
POS: {v: 256.556, s: 9.86616, e: 72.6561, r: -4.26511, p: -1.90564}
VEL: {v: -39.2882, s: -11.1115, e: 11.4004, r: 2.56404, p: 11.9797}
POS: {v: 251.088, s: 8.28625, e: 74.2943, r: -3.88129, p: -0.179241}
VEL: {v: -36.6409, s: -11.0788, e: 11.3747, r: 2.69083, p: 12.3667}
POS: {v: 251.088, s: 8.28625, e: 74.2943, r: -3.88129, p: -0.179241}
VEL: {v: -36.6409, s: -11.0788, e: 11.3747, r: 2.69083, p: 12.3667}
POS: {v: 249.071, s: 7.67861, e: 74.9186, r: -3.72548, p: 0.507451}
VEL: {v: -36.6381, s: -11.0257, e: 11.3148, r: 2.67188, p: 12.2446}
POS: {v: 249.071, s: 7.67861, e: 74.9186, r: -3.72548, p: 0.507451}
VEL: {v: -36.6381, s: -11.0257, e: 11.3148, r: 2.67188, p: 12.2446}
POS: {v: 249.071, s: 7.67861, e: 74.9186, r: -3.72548, p: 0.507451}
VEL: {v: -36.6381, s: -11.0257, e: 11.3148, r: 2.67188, p: 12.2446}
POS: {v: 244.338, s: 6.25414, e: 76.3702, r: -3.36171, p: 2.11195}
VEL: {v: -36.2079, s: -10.8297, e: 11.2651, r: 2.95805, p: 12.6908}
POS: {v: 244.338, s: 6.25414, e: 76.3702, r: -3.36171, p: 2.11195}
VEL: {v: -36.2079, s: -10.8297, e: 11.2651, r: 2.95805, p: 12.6908}
POS: {v: 240.22, s: 5.01045, e: 77.6377, r: -3.03087, p: 3.55744}
VEL: {v: -36.0719, s: -10.5978, e: 10.8983, r: 2.81882, p: 12.462}
POS: {v: 240.22, s: 5.01045, e: 77.6377, r: -3.03087, p: 3.55744}
VEL: {v: -36.0719, s: -10.5978, e: 10.8983, r: 2.81882, p: 12.462}
POS: {v: 236.296, s: 3.85806, e: 78.8034, r: -2.71298, p: 4.90589}
VEL: {v: -36.0246, s: -10.6378, e: 10.6768, r: 2.96918, p: 12.7038}
POS: {v: 233.21, s: 2.94996, e: 79.7284, r: -2.45063, p: 6.00994}
VEL: {v: -35.6629, s: -10.4589, e: 10.4894, r: 2.90733, p: 12.6185}
POS: {v: 231.599, s: 2.48, e: 80.198, r: -2.31335, p: 6.57969}
VEL: {v: -35.7906, s: -10.3681, e: 10.3709, r: 2.95838, p: 12.5862}
POS: {v: 231.599, s: 2.48, e: 80.198, r: -2.31335, p: 6.57969}
VEL: {v: -35.7906, s: -10.3681, e: 10.3709, r: 2.95838, p: 12.5862}
POS: {v: 231.599, s: 2.48, e: 80.198, r: -2.31335, p: 6.57969}
VEL: {v: -35.7906, s: -10.3681, e: 10.3709, r: 2.95838, p: 12.5862}
POS: {v: 225.587, s: 0.713899, e: 81.9331, r: -1.78709, p: 8.73247}
VEL: {v: -35.3298, s: -10.3333, e: 10.0686, r: 3.20532, p: 12.6129}
POS: {v: 225.587, s: 0.713899, e: 81.9331, r: -1.78709, p: 8.73247}
VEL: {v: -35.3298, s: -10.3333, e: 10.0686, r: 3.20532, p: 12.6129}
POS: {v: 224.417, s: 0.315897, e: 82.3252, r: -1.66295, p: 9.23999}
VEL: {v: -35.2254, s: -10.1517, e: 9.98086, r: 3.19301, p: 12.6546}
POS: {v: 224.417, s: 0.315897, e: 82.3252, r: -1.66295, p: 9.23999}
VEL: {v: -35.2254, s: -10.1517, e: 9.98086, r: 3.19301, p: 12.6546}
POS: {v: 222.055, s: -0.272728, e: 82.9139, r: -1.47261, p: 9.97294}
VEL: {v: -34.7002, s: -9.99015, e: 9.87011, r: 3.38053, p: 12.4992}
POS: {v: 222.055, s: -0.272728, e: 82.9139, r: -1.47261, p: 9.97294}
