POS: {v: 203.611, s: 2.09285, e: 68.6894, r: -11.541, p: -5.22548}
VEL: {v: 50.0295, s: 0.422608, e: 0.28337, r: 0.118716, p: -0.181916}
POS: {v: 206.61, s: 2.11452, e: 68.704, r: -11.5364, p: -5.23217}
VEL: {v: 50.0092, s: 0.371491, e: 0.272815, r: 0.0735843, p: -0.107845}
POS: {v: 208.911, s: 2.12985, e: 68.7152, r: -11.5329, p: -5.23734}
VEL: {v: 50.0046, s: 0.307746, e: 0.212783, r: 0.0660227, p: -0.105175}
POS: {v: 211.21, s: 2.14186, e: 68.7242, r: -11.53, p: -5.24122}
VEL: {v: 48.9381, s: 0.215392, e: 0.170233, r: 0.0630932, p: -0.099674}
POS: {v: 213.917, s: 2.15393, e: 68.7335, r: -11.527, p: -5.24503}
VEL: {v: 38.884, s: 0.183998, e: 0.132238, r: 0.0412504, p: -0.054642}
POS: {v: 216.536, s: 2.16778, e: 68.7444, r: -11.5231, p: -5.24955}
VEL: {v: 16.217, s: 0.117464, e: 0.0981648, r: 0.0428983, p: -0.0655518}
POS: {v: 216.536, s: 2.16778, e: 68.7444, r: -11.5231, p: -5.24955}
VEL: {v: 16.217, s: 0.117464, e: 0.0981648, r: 0.0428983, p: -0.0655518}
POS: {v: 217.227, s: 2.1728, e: 68.7483, r: -11.5216, p: -5.25118}
VEL: {v: 10.8629, s: 0.095944, e: 0.0778646, r: 0.000768983, p: 0.00199627}
POS: {v: 217.896, s: 2.17901, e: 68.7529, r: -11.5199, p: -5.25311}
VEL: {v: 10.0974, s: 0.092291, e: 0.0659344, r: 0.0160571, p: -0.0560115}
POS: {v: 218.33, s: 2.18337, e: 68.7559, r: -11.5188, p: -5.25454}
VEL: {v: 9.14859, s: 0.0889323, e: 0.0585586, r: -0.0016112, p: -0.0337276}
POS: {v: 218.686, s: 2.1869, e: 68.7583, r: -11.5179, p: -5.25564}
VEL: {v: 8.04728, s: 0.0808791, e: 0.0557332, r: 0.024461, p: -0.0281799}
POS: {v: 219.091, s: 2.19123, e: 68.7611, r: -11.5169, p: -5.25696}
VEL: {v: 6.64972, s: 0.0763571, e: 0.0479409, r: 0.0216414, p: -0.0223535}
POS: {v: 219.492, s: 2.19563, e: 68.7639, r: -11.5159, p: -5.25837}
VEL: {v: 5.79048, s: 0.0678188, e: 0.03906, r: 0.00992354, p: -0.0410859}
POS: {v: 219.679, s: 2.19773, e: 68.7652, r: -11.5154, p: -5.25896}
VEL: {v: 5.48903, s: 0.0640853, e: 0.0396848, r: 0.0266031, p: 0.0237927}
POS: {v: 220.011, s: 2.20142, e: 68.7675, r: -11.5147, p: -5.26007}
VEL: {v: 5.36082, s: 0.0623703, e: 0.0372288, r: -0.000933765, p: 0.000766009}
POS: {v: 220.245, s: 2.20417, e: 68.7691, r: -11.5141, p: -5.26095}
VEL: {v: 5.15487, s: 0.0538297, e: 0.0329849, r: 0.0265482, p: -0.047214}
POS: {v: 220.524, s: 2.20727, e: 68.7709, r: -11.5135, p: -5.2619}
VEL: {v: 5.02728, s: 0.053655, e: 0.0342306, r: -0.00109855, p: 2.32124e-05}
POS: {v: 220.739, s: 2.20984, e: 68.7723, r: -11.513, p: -5.26267}
VEL: {v: 5.14394, s: 0.061076, e: 0.0343052, r: 0.0202682, p: 0.00253015}
POS: {v: 221.006, s: 2.21285, e: 68.7739, r: -11.5126, p: -5.26355}
VEL: {v: 4.86939, s: 0.0607633, e: 0.031692, r: 0.00765321, p: -0.029294}
POS: {v: 221.615, s: 2.22004, e: 68.7778, r: -11.5114, p: -5.26578}
VEL: {v: 5.84366, s: 0.0606093, e: 0.0337708, r: 0.0258525, p: -0.0324045}
POS: {v: 221.615, s: 2.22004, e: 68.7778, r: -11.5114, p: -5.26578}
VEL: {v: 5.84366, s: 0.0606093, e: 0.0337708, r: 0.0258525, p: -0.0324045}
POS: {v: 221.814, s: 2.2223, e: 68.779, r: -11.5111, p: -5.26641}
VEL: {v: 4.80753, s: 0.0537631, e: 0.0310279, r: 0.0211287, p: -0.023282}
POS: {v: 222.099, s: 2.22565, e: 68.7807, r: -11.5105, p: -5.26738}
VEL: {v: 5.06604, s: 0.0538044, e: 0.0296329, r: 0.00902639, p: -0.00677802}
POS: {v: 222.302, s: 2.22801, e: 68.782, r: -11.5101, p: -5.26812}
VEL: {v: 5.00171, s: 0.0558735, e: 0.0335114, r: -0.00113517, p: -0.0622092}
POS: {v: 222.593, s: 2.23137, e: 68.7838, r: -11.5096, p: -5.2691}
VEL: {v: 4.42904, s: 0.0351416, e: 0.0256091, r: -0.000164782, p: 0.00273906}
POS: {v: 222.709, s: 2.20665, e: 68.822, r: -11.5064, p: -5.22123}
VEL: {v: -0.0480583, s: -3.09448, e: 2.60067, r: 0.527559, p: 3.0483}
POS: {v: 222.635, s: 2.0301, e: 68.9793, r: -11.4765, p: -5.02764}
VEL: {v: -15.18, s: -5.26415, e: 4.56079, r: 0.601418, p: 4.9737}
POS: {v: 221.759, s: 1.69818, e: 69.2701, r: -11.434, p: -4.71342}
VEL: {v: -19.9256, s: -7.07347, e: 6.49117, r: 0.963206, p: 6.91625}
