MTN: Move Mode -GRAVITY_ZONE
POS: {v: 144.345, s: -17.6202, e: 88.8243, r: -6.98511, p: 18.4867}
VEL: {v: 50.0952, s: -1.13958, e: 2.02749, r: -0.217402, p: -0.0247676}
POS: {v: 147.147, s: -17.6755, e: 88.9275, r: -6.99599, p: 18.4844}
VEL: {v: 49.8727, s: -0.843861, e: 1.59187, r: -0.167766, p: -0.0548045}
POS: {v: 148.925, s: -17.7016, e: 88.9743, r: -7.0015, p: 18.4834}
VEL: {v: 42.7162, s: -0.675905, e: 1.32844, r: -0.140138, p: -0.0312439}
POS: {v: 151.097, s: -17.735, e: 89.0402, r: -7.00875, p: 18.4821}
VEL: {v: 27.0979, s: -0.489808, e: 0.912813, r: -0.120694, p: 0.00276228}
POS: {v: 152.31, s: -17.7586, e: 89.0872, r: -7.01428, p: 18.4811}
VEL: {v: 16.6157, s: -0.419247, e: 0.817549, r: -0.088671, p: 0.0180592}
POS: {v: 153.097, s: -17.7787, e: 89.1255, r: -7.01882, p: 18.4803}
VEL: {v: 12.4535, s: -0.350428, e: 0.65758, r: -0.0991622, p: -0.0453106}
POS: {v: 153.722, s: -17.7969, e: 89.1592, r: -7.02285, p: 18.4796}
VEL: {v: 10.1716, s: -0.325123, e: 0.585558, r: -0.0457911, p: -0.0235606}
POS: {v: 154.264, s: -17.8138, e: 89.1893, r: -7.02643, p: 18.479}
VEL: {v: 7.77513, s: -0.266197, e: 0.476277, r: -0.0565019, p: -0.0168522}
POS: {v: 154.504, s: -17.8217, e: 89.2037, r: -7.02817, p: 18.4787}
VEL: {v: 6.9969, s: -0.247086, e: 0.416968, r: -0.0333592, p: -0.0237927}
POS: {v: 154.882, s: -17.8352, e: 89.2268, r: -7.03086, p: 18.4782}
VEL: {v: 6.09906, s: -0.218381, e: 0.364743, r: -0.0329564, p: -0.0315689}
POS: {v: 155.168, s: -17.8458, e: 89.2439, r: -7.03286, p: 18.4778}
VEL: {v: 6.20091, s: -0.243269, e: 0.36894, r: -0.0533528, p: -0.0321956}
POS: {v: 155.776, s: -17.869, e: 89.2789, r: -7.03678, p: 18.4769}
VEL: {v: 5.15813, s: -0.205755, e: 0.299992, r: -0.0673592, p: 0.00255336}
POS: {v: 155.776, s: -17.869, e: 89.2789, r: -7.03678, p: 18.4769}
VEL: {v: 5.15813, s: -0.205755, e: 0.299992, r: -0.0673592, p: 0.00255336}
POS: {v: 156.067, s: -17.8804, e: 89.2956, r: -7.03854, p: 18.4765}
VEL: {v: 5.15262, s: -0.203539, e: 0.288439, r: -0.0538837, p: 0.00645305}
POS: {v: 156.3, s: -17.8898, e: 89.3089, r: -7.03982, p: 18.4761}
VEL: {v: 5.14456, s: -0.215746, e: 0.29484, r: -0.0124685, p: -0.0465873}
POS: {v: 156.539, s: -17.899, e: 89.3216, r: -7.0411, p: 18.4758}
VEL: {v: 4.86668, s: -0.197373, e: 0.275294, r: -0.0339085, p: -0.0435}
POS: {v: 156.775, s: -17.9096, e: 89.3364, r: -7.04264, p: 18.4754}
VEL: {v: 4.60631, s: -0.186171, e: 0.248098, r: -0.0354648, p: -0.00415502}
POS: {v: 156.775, s: -17.9096, e: 89.3364, r: -7.04264, p: 18.4754}
VEL: {v: 4.60631, s: -0.186171, e: 0.248098, r: -0.0354648, p: -0.00415502}
POS: {v: 157.227, s: -17.9262, e: 89.3592, r: -7.04469, p: 18.4748}
VEL: {v: 4.49616, s: -0.179697, e: 0.242883, r: -0.0215498, p: 0}
POS: {v: 157.499, s: -17.9371, e: 89.3739, r: -7.04595, p: 18.4744}
